train_loss_step,epoch,step,valid_loss_step,valid_loss_epoch,train_loss_epoch
161.5376817938611,0,49,,,
93.28262920634084,0,99,,,
134.62930903345,0,149,,,
102.3780905910219,0,199,,,
130.15848244419516,0,249,,,
122.8966538524542,0,299,,,
121.73410893355032,0,349,,,
97.84114056873527,0,399,,,
120.76520253400446,0,449,,,
,,0,103.79465845281301,,
,,1,117.43036262695703,,
,,2,119.41003289588286,,
,,3,114.22437889030556,,
,,4,99.50013499878702,,
,,5,129.87270766584737,,
,,6,118.93744905177921,,
,,7,157.84834284722342,,
,,8,208.93820047659176,,
,,9,158.81840685991696,,
,,10,109.01535253940582,,
,,11,165.84480017914848,,
,,12,101.60448661244307,,
,,13,153.92157195376888,,
,,14,125.89599791065439,,
,,15,123.99958287901087,,
,,16,153.33667552904438,,
,,17,108.8483634312214,,
,,18,128.30554474222396,,
,,19,107.67045205980034,,
,,20,101.87687829284044,,
,,21,114.54813292700783,,
,,22,124.46310847028957,,
,,23,118.02742253178539,,
,,24,99.20168798123152,,
,,25,125.21719934381179,,
,,26,122.05971477549214,,
,,27,96.35450071539394,,
,,28,123.41590943381371,,
,,29,102.74073280801723,,
,,30,106.96647404086328,,
,,31,102.29214060535836,,
,,32,111.20475397716729,,
,,33,143.23346734207115,,
,,34,98.61450775693586,,
,,35,149.39223349132746,,
,,36,124.31988128150627,,
,,37,121.52255025357644,,
,,38,112.36931609259398,,
,,39,142.6091816157964,,
,,40,124.66125621242037,,
,,41,93.02462018377378,,
,,42,84.59968031627487,,
,,43,110.13569476235806,,
,,44,130.66995752205526,,
,,45,140.93913325529604,,
,,46,129.683592542403,,
,,47,117.92148660865584,,
,,48,141.9018975904334,,
,,49,89.22597939273808,,
,,50,93.77714124227893,,
,,51,131.9951308578645,,
,,52,92.29033958776631,,
,,53,108.63300801680259,,
,,54,117.88386296209538,,
,,55,143.3893458647484,,
,,56,116.0323990754278,,
,,57,121.09806046825851,,
,,58,90.51380579718457,,
,,59,144.4865302729297,,
,,60,117.96572126914268,,
,,61,104.7146258357076,,
,,62,93.91146940427295,,
,,63,119.55951851979135,,
,,64,128.01004953676167,,
,,65,96.73753621806028,,
,,66,125.22006557991156,,
,,67,129.31020798071143,,
,,68,132.68869368380862,,
,,69,128.25277837256334,,
,,70,146.34441119552534,,
,,71,97.14919001720804,,
,,72,147.85653066431647,,
,,73,109.1254067247743,,
,,74,103.05261800014887,,
,,75,97.63515994525031,,
,,76,133.75828108766515,,
,,77,133.79769331023033,,
,,78,129.91272090315763,,
,,79,110.9281392312327,,
,,80,117.23582738393995,,
,,81,115.93081172530381,,
,,82,128.00116597152936,,
,,83,152.7764826826407,,
,,84,102.33872297136514,,
,,85,128.37186557247912,,
,,86,119.45501898230492,,
,,87,100.53102732709391,,
,,88,101.01597070889677,,
,,89,122.37565692695665,,
,,90,113.50262761806204,,
,,91,111.98234854907528,,
,,92,115.0327957211118,,
,,93,105.4501246228835,,
,,94,134.0641198790314,,
,,95,148.4510372124185,,
,,96,120.88064370985104,,
,,97,103.61102700700435,,
,,98,99.69290188344293,,
,,99,135.49708565723176,,
,,100,153.8025867368603,,
,,101,115.6812905373488,,
,,102,117.93221213513326,,
,,103,113.04669904846851,,
,,104,118.06606126188913,,
,,105,142.38211501885658,,
,,106,92.0578119249721,,
,,107,132.17180316562755,,
,,108,99.13692523007676,,
,,109,110.86244355159897,,
,,110,136.32854981320511,,
,,111,109.5396948947067,,
,,112,115.8484761142767,,
,,113,155.40772301636352,,
,,114,122.95734398015708,,
,,115,138.63413924895988,,
,,116,114.82353530089391,,
,,117,124.22899729644291,,
,,118,168.43539041034887,,
,,119,148.38748064001288,,
,,120,103.65924625193163,,
,,121,111.61020303307669,,
,0,485,,121.17104600883529,
,0,485,,,122.80479177830354
