train_loss_step,epoch,step,valid_loss_step,valid_loss_epoch,train_loss_epoch
nan,0,49,,,
nan,0,99,,,
nan,0,149,,,
nan,0,199,,,
,,0,nan,,
,,1,nan,,
,,2,nan,,
,,3,nan,,
,,4,nan,,
,,5,nan,,
,,6,nan,,
,,7,nan,,
,,8,nan,,
,,9,nan,,
,,10,nan,,
,,11,nan,,
,,12,nan,,
,,13,nan,,
,,14,nan,,
,,15,nan,,
,,16,nan,,
,,17,nan,,
,,18,nan,,
,,19,nan,,
,,20,nan,,
,,21,nan,,
,,22,nan,,
,,23,nan,,
,,24,nan,,
,,25,nan,,
,,26,nan,,
,,27,nan,,
,,28,nan,,
,,29,nan,,
,,30,nan,,
,,31,nan,,
,,32,nan,,
,,33,nan,,
,,34,nan,,
,,35,nan,,
,,36,nan,,
,,37,nan,,
,,38,nan,,
,,39,nan,,
,,40,nan,,
,,41,nan,,
,,42,nan,,
,,43,nan,,
,,44,nan,,
,,45,nan,,
,,46,nan,,
,,47,nan,,
,,48,nan,,
,,49,nan,,
,,50,nan,,
,,51,nan,,
,,52,nan,,
,,53,nan,,
,,54,nan,,
,,55,nan,,
,,56,nan,,
,,57,nan,,
,,58,nan,,
,,59,nan,,
,0,238,,nan,
,0,238,,,nan
